item_id,weight,value,capacity
1,10,93,13142
2,70,44,13142
3,3,28,13142
4,20,70,13142
5,53,92,13142
6,48,79,13142
7,49,92,13142
8,34,65,13142
9,46,7,13142
10,69,73,13142
11,30,58,13142
12,62,64,13142
13,50,70,13142
14,84,66,13142
15,46,56,13142
16,43,90,13142
17,38,31,13142
18,46,21,13142
19,50,40,13142
20,58,73,13142
21,69,70,13142
22,38,58,13142
23,32,48,13142
24,86,82,13142
25,59,17,13142
26,10,22,13142
27,66,42,13142
28,3,29,13142
29,62,37,13142
30,59,71,13142
31,62,97,13142
32,84,12,13142
33,3,85,13142
34,13,89,13142
35,24,96,13142
36,65,66,13142
37,22,61,13142
38,77,13,13142
39,74,1,13142
40,47,43,13142
41,39,85,13142
42,49,90,13142
43,1,11,13142
44,43,72,13142
45,82,58,13142
46,34,89,13142
47,28,59,13142
48,68,90,13142
49,93,72,13142
50,93,66,13142
51,14,34,13142
52,81,88,13142
53,89,97,13142
54,11,65,13142
55,81,75,13142
56,17,13,13142
57,62,55,13142
58,56,99,13142
59,78,53,13142
60,5,68,13142
61,14,85,13142
62,40,53,13142
63,56,37,13142
64,65,39,13142
65,1,12,13142
66,89,87,13142
67,20,59,13142
68,52,83,13142
69,2,94,13142
70,38,77,13142
71,85,87,13142
72,27,67,13142
73,97,41,13142
74,53,94,13142
75,18,28,13142
76,82,86,13142
77,72,84,13142
78,18,32,13142
79,10,75,13142
80,32,50,13142
81,98,67,13142
82,61,82,13142
83,29,69,13142
84,77,35,13142
85,61,49,13142
86,70,23,13142
87,74,22,13142
88,19,67,13142
89,73,60,13142
90,21,7,13142
91,90,60,13142
92,24,48,13142
93,24,14,13142
94,61,19,13142
95,84,57,13142
96,49,5,13142
97,67,36,13142
98,38,94,13142
99,8,4,13142
100,67,24,13142
101,13,26,13142
102,85,32,13142
103,4,14,13142
104,3,40,13142
105,56,42,13142
106,29,38,13142
107,49,93,13142
108,43,14,13142
109,72,50,13142
110,98,29,13142
111,21,52,13142
112,65,90,13142
113,30,71,13142
114,91,9,13142
115,29,59,13142
116,90,32,13142
117,45,80,13142
118,62,91,13142
119,80,90,13142
120,1,10,13142
121,77,91,13142
122,61,99,13142
123,95,20,13142
124,13,47,13142
125,99,11,13142
126,6,23,13142
127,41,23,13142
128,16,6,13142
129,18,45,13142
130,15,44,13142
131,14,70,13142
132,20,55,13142
133,68,40,13142
134,50,69,13142
135,3,5,13142
136,69,51,13142
137,87,74,13142
138,67,15,13142
139,14,93,13142
140,71,91,13142
141,49,10,13142
142,63,29,13142
143,73,58,13142
144,55,14,13142
145,52,62,13142
146,59,82,13142
147,16,91,13142
148,72,20,13142
149,26,27,13142
150,84,54,13142
151,60,26,13142
152,65,31,13142
153,3,97,13142
154,28,95,13142
155,76,4,13142
156,40,20,13142
157,84,23,13142
158,62,76,13142
159,15,74,13142
160,81,42,13142
161,2,22,13142
162,83,67,13142
163,8,13,13142
164,87,76,13142
165,3,11,13142
166,64,48,13142
167,93,64,13142
168,14,59,13142
169,36,77,13142
170,51,81,13142
171,64,8,13142
172,67,95,13142
173,12,57,13142
174,93,80,13142
175,2,67,13142
176,75,29,13142
177,63,42,13142
178,23,15,13142
179,67,81,13142
180,34,65,13142
181,45,75,13142
182,23,56,13142
183,98,53,13142
184,23,19,13142
185,48,94,13142
186,85,52,13142
187,70,79,13142
188,21,71,13142
189,42,37,13142
190,75,3,13142
191,66,8,13142
192,45,41,13142
193,56,72,13142
194,68,5,13142
195,13,8,13142
196,32,48,13142
197,31,98,13142
198,25,95,13142
199,91,72,13142
200,86,82,13142
201,23,28,13142
202,27,22,13142
203,97,58,13142
204,5,38,13142
205,15,25,13142
206,95,64,13142
207,51,19,13142
208,18,34,13142
209,52,69,13142
210,23,21,13142
211,32,26,13142
212,90,45,13142
213,85,67,13142
214,26,91,13142
215,91,66,13142
216,49,65,13142
217,67,16,13142
218,99,33,13142
219,66,27,13142
220,34,61,13142
221,27,59,13142
222,51,65,13142
223,65,95,13142
224,65,75,13142
225,60,22,13142
226,66,69,13142
227,59,6,13142
228,43,65,13142
229,12,61,13142
230,81,17,13142
231,10,43,13142
232,9,98,13142
233,70,7,13142
234,97,26,13142
235,56,59,13142
236,35,93,13142
237,82,58,13142
238,70,43,13142
239,9,42,13142
240,63,52,13142
241,20,38,13142
242,96,60,13142
243,40,8,13142
244,76,86,13142
245,60,76,13142
246,95,56,13142
247,23,26,13142
248,56,24,13142
249,71,27,13142
250,54,59,13142
251,38,88,13142
252,71,12,13142
253,78,28,13142
254,28,74,13142
255,39,49,13142
