item_id,weight,value,capacity
1,88,46,15458
2,19,60,15458
3,16,36,15458
4,70,38,15458
5,52,4,15458
6,39,65,15458
7,77,14,15458
8,4,66,15458
9,65,30,15458
10,74,99,15458
11,95,10,15458
12,77,19,15458
13,12,65,15458
14,9,95,15458
15,27,97,15458
16,91,45,15458
17,19,13,15458
18,98,85,15458
19,87,46,15458
20,75,70,15458
21,99,7,15458
22,48,97,15458
23,40,12,15458
24,47,47,15458
25,81,6,15458
26,14,32,15458
27,85,3,15458
28,29,90,15458
29,27,50,15458
30,48,76,15458
31,41,76,15458
32,17,48,15458
33,90,12,15458
34,8,54,15458
35,20,11,15458
36,61,70,15458
37,83,3,15458
38,46,76,15458
39,80,61,15458
40,34,36,15458
41,70,81,15458
42,97,7,15458
43,23,99,15458
44,13,97,15458
45,40,98,15458
46,23,79,15458
47,56,49,15458
48,67,10,15458
49,64,68,15458
50,25,29,15458
51,3,18,15458
52,77,45,15458
53,4,36,15458
54,76,65,15458
55,41,92,15458
56,48,4,15458
57,27,93,15458
58,71,52,15458
59,79,28,15458
60,93,85,15458
61,58,59,15458
62,49,6,15458
63,72,95,15458
64,33,13,15458
65,98,54,15458
66,47,12,15458
67,78,87,15458
68,68,1,15458
69,92,98,15458
70,66,63,15458
71,34,3,15458
72,64,27,15458
73,20,81,15458
74,26,34,15458
75,69,85,15458
76,10,19,15458
77,6,84,15458
78,16,6,15458
79,90,87,15458
80,6,33,15458
81,73,39,15458
82,19,10,15458
83,10,42,15458
84,8,49,15458
85,41,22,15458
86,4,51,15458
87,22,3,15458
88,28,60,15458
89,87,82,15458
90,65,81,15458
91,5,38,15458
92,64,66,15458
93,66,90,15458
94,22,62,15458
95,74,81,15458
96,72,31,15458
97,56,15,15458
98,87,57,15458
99,66,27,15458
100,6,86,15458
101,56,80,15458
102,80,6,15458
103,61,43,15458
104,20,25,15458
105,88,83,15458
106,6,71,15458
107,27,84,15458
108,3,5,15458
109,63,68,15458
110,39,75,15458
111,27,18,15458
112,49,34,15458
113,99,81,15458
114,76,53,15458
115,75,3,15458
116,20,61,15458
117,78,61,15458
118,92,1,15458
119,1,45,15458
120,66,78,15458
121,13,28,15458
122,55,89,15458
123,22,43,15458
124,40,60,15458
125,14,24,15458
126,86,98,15458
127,52,45,15458
128,96,42,15458
129,73,79,15458
130,4,35,15458
131,17,10,15458
132,63,70,15458
133,89,73,15458
134,79,41,15458
135,63,5,15458
136,46,67,15458
137,37,14,15458
138,14,44,15458
139,7,96,15458
140,61,46,15458
141,61,71,15458
142,98,63,15458
143,87,51,15458
144,22,82,15458
145,76,83,15458
146,88,92,15458
147,59,98,15458
148,91,6,15458
149,21,14,15458
150,29,5,15458
151,71,56,15458
152,87,19,15458
153,14,58,15458
154,26,13,15458
155,98,75,15458
156,10,18,15458
157,51,31,15458
158,75,16,15458
159,34,10,15458
160,48,43,15458
161,66,46,15458
162,10,35,15458
163,3,10,15458
164,95,58,15458
165,35,36,15458
166,71,95,15458
167,19,72,15458
168,64,32,15458
169,74,29,15458
170,90,84,15458
171,49,7,15458
172,58,9,15458
173,19,6,15458
174,8,32,15458
175,98,67,15458
176,97,72,15458
177,73,52,15458
178,48,96,15458
179,72,67,15458
180,58,1,15458
181,14,79,15458
