item_id,weight,value,capacity
1,59,1,2803
2,83,27,2803
3,25,92,2803
4,26,85,2803
5,1,35,2803
6,1,54,2803
7,44,69,2803
8,66,20,2803
9,39,19,2803
10,3,72,2803
11,4,19,2803
12,97,50,2803
13,85,60,2803
14,76,80,2803
15,40,90,2803
16,80,22,2803
17,69,18,2803
18,60,81,2803
19,4,61,2803
20,99,82,2803
21,78,64,2803
22,32,85,2803
23,65,21,2803
24,66,59,2803
25,8,92,2803
26,71,67,2803
27,95,58,2803
28,44,40,2803
29,59,45,2803
30,77,55,2803
31,10,95,2803
32,32,67,2803
33,29,32,2803
34,53,62,2803
35,35,55,2803
36,68,66,2803
37,50,15,2803
38,30,85,2803
39,77,51,2803
40,25,65,2803
41,8,27,2803
42,97,9,2803
43,8,65,2803
44,57,16,2803
45,4,11,2803
46,96,76,2803
47,28,15,2803
48,86,11,2803
49,8,70,2803
50,30,47,2803
51,26,10,2803
52,11,2,2803
53,99,99,2803
54,68,89,2803
55,62,44,2803
56,59,36,2803
57,49,54,2803
58,45,49,2803
59,16,41,2803
60,6,80,2803
61,2,98,2803
62,68,62,2803
63,35,16,2803
64,32,2,2803
65,12,9,2803
66,92,13,2803
67,21,47,2803
68,11,28,2803
69,54,54,2803
70,7,96,2803
71,20,31,2803
72,68,90,2803
73,73,30,2803
74,74,26,2803
75,19,42,2803
76,79,89,2803
77,81,63,2803
78,96,13,2803
79,27,24,2803
80,68,70,2803
81,42,12,2803
82,77,13,2803
83,24,86,2803
84,55,8,2803
85,84,38,2803
86,77,73,2803
87,87,66,2803
88,62,29,2803
89,19,39,2803
90,12,54,2803
91,34,29,2803
92,69,36,2803
93,58,94,2803
94,85,57,2803
95,87,73,2803
96,21,87,2803
97,27,62,2803
98,49,29,2803
99,7,88,2803
100,51,67,2803
