item_id,weight,value,capacity
1,1,48,1843
2,72,70,1843
3,11,28,1843
4,24,32,1843
5,9,47,1843
6,74,53,1843
7,97,50,1843
8,65,50,1843
9,62,31,1843
10,16,20,1843
11,64,18,1843
12,55,92,1843
13,91,93,1843
14,83,23,1843
15,11,5,1843
16,47,16,1843
17,92,4,1843
18,60,33,1843
19,85,60,1843
20,79,29,1843
21,71,30,1843
22,81,92,1843
23,36,17,1843
24,87,21,1843
25,60,69,1843
26,78,45,1843
27,17,6,1843
28,62,41,1843
29,43,92,1843
30,4,39,1843
31,4,33,1843
32,70,2,1843
33,77,12,1843
34,60,49,1843
35,46,10,1843
36,95,79,1843
37,75,40,1843
38,8,10,1843
39,3,56,1843
40,42,2,1843
41,94,82,1843
42,68,88,1843
43,99,7,1843
44,35,41,1843
45,29,50,1843
46,7,88,1843
47,21,90,1843
48,57,65,1843
49,99,55,1843
50,10,27,1843
