item_id,weight,value,capacity
1,77,98,1384
2,90,48,1384
3,2,80,1384
4,31,21,1384
5,25,11,1384
6,77,79,1384
7,48,7,1384
8,41,35,1384
9,13,85,1384
10,8,80,1384
11,26,91,1384
12,72,29,1384
13,1,24,1384
14,38,56,1384
15,81,47,1384
16,68,86,1384
17,59,97,1384
18,27,76,1384
19,4,62,1384
20,13,45,1384
21,60,94,1384
22,44,76,1384
23,9,61,1384
24,95,8,1384
25,9,13,1384
26,37,87,1384
27,97,62,1384
28,42,46,1384
29,17,15,1384
30,95,53,1384
31,98,14,1384
32,80,54,1384
33,46,33,1384
34,21,78,1384
35,76,58,1384
36,84,44,1384
37,97,53,1384
38,3,59,1384
39,8,17,1384
40,87,21,1384
41,89,65,1384
42,59,98,1384
43,18,62,1384
44,15,6,1384
45,49,40,1384
46,75,84,1384
47,31,2,1384
48,27,71,1384
49,19,33,1384
50,32,15,1384
