item_id,weight,value,capacity
1,17,93,1751
2,84,47,1751
3,60,35,1751
4,69,79,1751
5,56,54,1751
6,85,1,1751
7,91,78,1751
8,32,42,1751
9,62,28,1751
10,1,44,1751
11,62,84,1751
12,91,86,1751
13,89,45,1751
14,89,65,1751
15,49,38,1751
16,76,25,1751
17,99,92,1751
18,49,39,1751
19,98,71,1751
20,96,87,1751
21,77,48,1751
22,65,11,1751
23,56,59,1751
24,65,60,1751
25,62,85,1751
26,85,49,1751
27,83,31,1751
28,56,66,1751
29,6,75,1751
30,78,53,1751
31,70,85,1751
32,67,83,1751
33,75,28,1751
34,52,71,1751
35,12,68,1751
36,29,89,1751
37,55,18,1751
38,4,18,1751
39,4,90,1751
40,51,75,1751
41,51,47,1751
42,61,54,1751
43,83,71,1751
44,86,9,1751
45,23,80,1751
46,64,74,1751
47,2,12,1751
48,30,26,1751
49,50,25,1751
50,8,13,1751
