item_id,weight,value,capacity
1,39,35,1347
2,85,1,1347
3,23,72,1347
4,86,61,1347
5,55,29,1347
6,40,26,1347
7,32,43,1347
8,11,64,1347
9,65,98,1347
10,16,87,1347
11,8,88,1347
12,54,44,1347
13,45,35,1347
14,93,48,1347
15,3,96,1347
16,77,26,1347
17,63,42,1347
18,70,75,1347
19,85,86,1347
20,21,52,1347
21,23,79,1347
22,13,57,1347
23,21,70,1347
24,28,20,1347
25,92,92,1347
26,74,77,1347
27,76,20,1347
28,18,94,1347
29,90,21,1347
30,59,83,1347
31,6,3,1347
32,94,34,1347
33,74,43,1347
34,91,53,1347
35,31,55,1347
36,55,15,1347
37,2,96,1347
38,21,11,1347
39,37,60,1347
40,2,13,1347
41,28,11,1347
42,93,15,1347
43,70,2,1347
44,14,75,1347
45,91,96,1347
46,7,39,1347
47,16,85,1347
48,53,29,1347
49,41,30,1347
50,4,43,1347
