item_id,weight,value,capacity
1,50,33,2810
2,19,11,2810
3,30,55,2810
4,89,95,2810
5,39,25,2810
6,40,56,2810
7,80,24,2810
8,11,13,2810
9,91,45,2810
10,97,22,2810
11,54,15,2810
12,66,34,2810
13,3,29,2810
14,41,92,2810
15,20,78,2810
16,61,91,2810
17,91,17,2810
18,42,77,2810
19,79,79,2810
20,27,44,2810
21,91,25,2810
22,69,15,2810
23,56,62,2810
24,81,95,2810
25,5,59,2810
26,28,48,2810
27,21,26,2810
28,13,36,2810
29,28,92,2810
30,24,10,2810
31,63,36,2810
32,48,71,2810
33,93,45,2810
34,42,90,2810
35,48,22,2810
36,78,41,2810
37,68,27,2810
38,35,57,2810
39,37,9,2810
40,4,83,2810
41,26,69,2810
42,33,38,2810
43,37,89,2810
44,89,8,2810
45,75,46,2810
46,40,36,2810
47,26,97,2810
48,3,33,2810
49,72,24,2810
50,77,65,2810
51,79,18,2810
52,98,80,2810
53,94,26,2810
54,71,36,2810
55,73,74,2810
56,55,32,2810
57,4,13,2810
58,91,76,2810
59,31,93,2810
60,66,16,2810
61,29,17,2810
62,79,23,2810
63,28,98,2810
64,19,30,2810
65,86,3,2810
66,61,34,2810
67,26,72,2810
68,16,54,2810
69,4,91,2810
70,71,12,2810
71,79,66,2810
72,56,75,2810
73,48,91,2810
74,74,95,2810
75,33,52,2810
76,98,83,2810
77,96,87,2810
78,15,71,2810
79,50,55,2810
80,96,10,2810
81,76,8,2810
82,38,84,2810
83,76,33,2810
84,6,98,2810
85,90,19,2810
86,88,38,2810
87,78,61,2810
88,12,85,2810
89,5,90,2810
90,20,97,2810
91,57,70,2810
92,50,23,2810
93,13,56,2810
94,87,73,2810
95,40,96,2810
96,50,11,2810
97,72,79,2810
98,17,53,2810
99,37,89,2810
100,97,3,2810
